Dist Code,Year,State Code,State Name,Dist Name,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,ANNUAL
4,2008,14,Chhattisgarh,Bilaspur,4,11.9,34.2,11.3,1.7,249.8,230.8,257.6,236.2,4.8,4.7,0,1047
4,2009,14,Chhattisgarh,Bilaspur,7.8,0,0,9.7,23.5,43.1,314.8,301.9,62.6,28,0,0,791.4
4,2010,14,Chhattisgarh,Bilaspur,3.3,3.5,0.1,6.3,19.6,51.5,300.3,250.5,273.7,36.4,7.3,21.4,973.9
4,2011,14,Chhattisgarh,Bilaspur,0.1,11.4,8.9,82.3,35.6,161.9,226.1,463.9,290.9,9,0,0,1290.1
4,2012,14,Chhattisgarh,Bilaspur,106.3,14.8,0,19.1,6.4,126.3,495.9,318.6,204.8,19.3,32,6.6,1350.1
4,2013,14,Chhattisgarh,Bilaspur,1.2,24.4,8,50.9,4.4,229,304.3,350.7,186.3,290.3,0,0,1449.5
4,2014,14,Chhattisgarh,Bilaspur,5.1,49.4,59.8,37.7,16.4,143.4,318.7,329.4,243.5,135,0,9.8,1348.2
4,2015,14,Chhattisgarh,Bilaspur,20.7,5.5,31.7,42.3,3,178.2,233.7,313.5,215.5,12.3,0,0.4,1056.8
5,2005,14,Chhattisgarh,Raigarh,37.5,8.2,0,0,0,277.1,427.6,310.4,121.6,64.4,0,0,1246.8
5,2006,14,Chhattisgarh,Raigarh,0,0,0,0,91.2,117.5,308.2,430.6,110.2,26.1,5.3,0,1089.1
5,2007,14,Chhattisgarh,Raigarh,0,35.2,17.2,0,29.6,233.1,342.3,318.2,239.5,40.1,36.6,0,1291.8
5,2008,14,Chhattisgarh,Raigarh,22.4,21.3,27.8,31.5,2.3,256.7,298.1,586.5,261.5,5.8,0,0,1513.9
5,2009,14,Chhattisgarh,Raigarh,0,0,0,0,0,15.3,650.4,194.8,92.2,25.5,0,0,978.2
5,2010,14,Chhattisgarh,Raigarh,0,0,0,0,0,117.1,319.5,251.4,251.2,21.3,7.3,20.5,988.3
5,2011,14,Chhattisgarh,Raigarh,0,2.1,0,5.8,2.3,99.7,269,320.4,589.2,0,0,0,1288.5
5,2012,14,Chhattisgarh,Raigarh,47.6,0,0,0,0,200.2,267.1,447.3,239.5,17.2,18.4,0,1237.3
5,2013,14,Chhattisgarh,Raigarh,0,0,0,20.3,0,146.2,386.1,371.1,111.3,186.3,0,0,1221.3
5,2014,14,Chhattisgarh,Raigarh,0,0,0,0,0,148.2,461,367.5,214.2,36.9,0,0,1227.8
5,2015,14,Chhattisgarh,Raigarh,0,0,8.4,0,0,263.2,335.5,390.1,171.5,20.4,0,3,1192.1
6,2005,14,Chhattisgarh,Surguja,59.3,61,7.3,5,3.8,240.4,218.1,263.6,219.5,42,0,0.1,1120.1
6,2006,14,Chhattisgarh,Surguja,0,0,45,17.4,33.7,82.1,391.9,439.3,146.7,25.7,4.5,0,1186.3
6,2007,14,Chhattisgarh,Surguja,0,33.2,17.2,8.4,21.1,155.1,354.6,248.1,285.9,29.5,0.3,0,1153.4
6,2008,14,Chhattisgarh,Surguja,8.3,6.9,10.3,25.4,8.9,331.8,359.6,246,111.7,9.8,0.9,0,1119.6
6,2009,14,Chhattisgarh,Surguja,5.4,0,0,0.3,3.5,74.2,234.6,150,77.1,19,0,0,564.1
6,2010,14,Chhattisgarh,Surguja,0,10.9,0,0,9,51.6,216,102.4,154.3,22.8,6.4,23.3,596.7
6,2011,14,Chhattisgarh,Surguja,0.2,4.1,5.9,24.9,16.1,254.5,250.8,353.3,448.2,25.6,0,0,1383.6
